Elapsed Sec,Evacuation Rate
610.8536,0.8221154
610.8736,0.8221154
610.8936,0.8221154
610.9136,0.8221154
610.9337,0.8221154
610.9537,0.8221154
610.9737,0.8221154
610.9937,0.8221154
611.0137,0.8221154
611.0338,0.8221154
611.0538,0.8221154
611.0738,0.8221154
611.0938,0.8221154
611.1138,0.8221154
611.1339,0.8221154
611.1539,0.8221154
611.1739,0.8221154
611.1939,0.8221154
611.2139,0.8221154
611.2339,0.8221154
611.254,0.8221154
611.274,0.8221154
611.294,0.8221154
611.314,0.8221154
611.334,0.8221154
611.3541,0.8221154
611.3741,0.8221154
611.3941,0.8221154
611.4141,0.8221154
611.4341,0.8221154
611.4542,0.8221154
611.4742,0.8221154
611.4942,0.8221154
611.5142,0.8221154
611.5342,0.8221154
611.5543,0.8221154
611.5743,0.8221154
611.5943,0.8221154
611.6143,0.8221154
611.6343,0.8221154
611.6544,0.8221154
611.6744,0.8221154
611.6944,0.8221154
611.7144,0.8221154
611.7344,0.8221154
611.7545,0.8221154
611.7745,0.8221154
611.7945,0.8221154
611.8145,0.8221154
611.8345,0.8221154
611.8546,0.8221154
611.8746,0.8221154
611.8946,0.8221154
611.9146,0.8221154
611.9346,0.8221154
611.9547,0.8221154
611.9747,0.8221154
611.9947,0.8221154
612.0147,0.8221154
612.0347,0.8221154
612.0547,0.8221154
612.0748,0.8221154
612.0948,0.8221154
612.1148,0.8221154
612.1348,0.8221154
612.1548,0.8221154
612.1749,0.8221154
612.1949,0.8221154
612.2149,0.8221154
612.2349,0.8221154
612.2549,0.8221154
612.275,0.8221154
612.295,0.8221154
612.315,0.8221154
612.335,0.8221154
612.355,0.8221154
612.3751,0.8221154
612.3951,0.8221154
612.4151,0.8221154
612.4351,0.8221154
612.4551,0.8221154
612.4752,0.8221154
612.4952,0.8221154
612.5152,0.8221154
612.5352,0.8221154
612.5552,0.8221154
612.5753,0.8221154
612.5953,0.8221154
612.6153,0.8221154
612.6353,0.8221154
612.6553,0.8221154
612.6754,0.8221154
612.6954,0.8221154
612.7154,0.8221154
612.7354,0.8221154
612.7554,0.8221154
612.7755,0.8221154
612.7955,0.8221154
612.8155,0.8221154
612.8355,0.8221154
612.8555,0.8221154
612.8755,0.8221154
612.8956,0.8221154
612.9156,0.8221154
612.9356,0.8221154
612.9556,0.8221154
612.9756,0.8221154
612.9957,0.8221154
613.0157,0.8221154
613.0357,0.8221154
613.0557,0.8221154
613.0757,0.8221154
613.0958,0.8221154
613.1158,0.8221154
613.1358,0.8221154
613.1558,0.8221154
613.1758,0.8221154
613.1959,0.8221154
613.2159,0.8221154
613.2359,0.8221154
613.2559,0.8221154
613.2759,0.8221154
613.296,0.8221154
613.316,0.8221154
613.336,0.8221154
613.356,0.8221154
613.376,0.8221154
613.3961,0.8221154
613.4161,0.8221154
613.4361,0.8221154
613.4561,0.8221154
613.4761,0.8221154
613.4962,0.8221154
613.5162,0.8221154
613.5362,0.8221154
613.5562,0.8221154
613.5762,0.8221154
